college,topic,count,URL,TopicForAuthors,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
College of Education,racist practices interruption,1,https:\/\/pages.charlotte.edu\/connections\/links\/racist-practices-interruption\/,racist practices interruption,Erin Miller,https://pages.charlotte.edu/connections/people/emille90/,,,,
College of Education,literacy coaching,1,https:\/\/pages.charlotte.edu\/connections\/links\/literacy-coaching\/,literacy coaching,,,,,,
College of Education,educational program evaluation,1,https:\/\/pages.charlotte.edu\/connections\/links\/educational-program-evaluation\/,educational program evaluation,Adriana Medina,https://pages.charlotte.edu/connections/people/amedina1/,,,,
College of Education,culturally responsive teaching,1,https:\/\/pages.charlotte.edu\/connections\/links\/culturally-responsive-teaching\/,culturally responsive teaching,Tehia Glass,https://pages.charlotte.edu/connections/people/tstarker/,,,,
College of Education,videoconference use in methods courses,1,https:\/\/pages.charlotte.edu\/connections\/links\/videoconference-use-in-methods-courses\/,videoconference use in methods courses,Amy Good,https://pages.charlotte.edu/connections/people/agood5/,,,,
College of Education,constructivist research,1,https:\/\/pages.charlotte.edu\/connections\/links\/constructivist-research\/,constructivist research,,,,,,
College of Education,cognitive development,1,https:\/\/pages.charlotte.edu\/connections\/links\/cognitive-development\/,cognitive development,,,,,,
College of Education,constructivist theory,1,https:\/\/pages.charlotte.edu\/connections\/links\/constructivist-theory\/,constructivist theory,,,,,,
College of Education,social studies classroom,1,https:\/\/pages.charlotte.edu\/connections\/links\/social-studies-classroom\/,social studies classroom,Amy Good,https://pages.charlotte.edu/connections/people/agood5/,,,,
College of Education,videoconference,1,https:\/\/pages.charlotte.edu\/connections\/links\/videoconference\/,videoconference,Amy Good,https://pages.charlotte.edu/connections/people/agood5/,,,,
College of Education,social studies classroom environment,1,https:\/\/pages.charlotte.edu\/connections\/links\/social-studies-classroom-environment\/,social studies classroom environment,Amy Good,https://pages.charlotte.edu/connections/people/agood5/,,,,
College of Education,academic diversity,1,https:\/\/pages.charlotte.edu\/connections\/links\/academic-diversity\/,academic diversity,Hilary Dack,https://pages.charlotte.edu/connections/people/hdack/,,,,
College of Health & Human Services,clinical drug development,1,https:\/\/pages.charlotte.edu\/connections\/links\/clinical-drug-development\/,clinical drug development,Patrick Robinson,https://pages.charlotte.edu/connections/people/probin34/,,,,
College of Health & Human Services,HIV,2,https:\/\/pages.charlotte.edu\/connections\/links\/hiv\/,HIV,Patrick Robinson,https://pages.charlotte.edu/connections/people/probin34/,Colleen Eade,https://pages.charlotte.edu/connections/people/ceade/,,
College of Health & Human Services,infectious disease,1,https:\/\/pages.charlotte.edu\/connections\/links\/infectious-disease\/,infectious disease,Patrick Robinson,https://pages.charlotte.edu/connections/people/probin34/,,,,
